카드식별번호,횟수
6641-1122-1938-7033,6
4852-8620-5281-4944,7
7700-5613-5453-0794,20
9634-8196-8845-8880,16
3363-7667-8432-1949,14
5613-0514-5328-4515,5
6530-3954-1104-5761,11
2068-5027-1058-8982,3
5959-1070-0174-9376,12
2374-9255-7674-7351,2
3547-4527-9716-8406,11
7588-3490-7278-1160,13
8404-8304-9628-2261,13
1802-9934-0250-8569,5
2009-4259-2638-6559,17
8375-9044-3421-7477,11
7975-3627-6751-2620,16
8001-5751-4202-0602,20
6047-3237-9656-1087,16
8288-0781-4750-0053,4
7726-6729-6982-7599,3
3411-6643-5322-1275,13
8274-2582-1513-6945,10
7737-2494-5664-2046,16
7249-9349-1899-5310,7
6799-1974-7396-2803,13
3397-3920-4204-0940,16
2191-2668-2784-3708,11
7578-2517-5009-9525,9
6844-6631-1645-4773,9
6880-0007-5385-1609,4
1252-8454-1511-3235,10
2138-0257-2072-3700,20
4618-8745-6170-1561,11
3976-1234-1859-9973,17
4044-2115-7910-2154,4
6872-8931-2788-3926,14
4892-8902-5529-8793,14
6256-4733-4876-8541,11
9695-2767-7180-8388,14
9244-0389-5715-2938,13
9819-4279-6912-2598,11
8585-7639-3966-2026,16
6956-7801-9224-7475,6
3239-5007-5521-0185,10
9724-4135-6429-3658,1
8610-7331-8979-8054,19
4920-9036-6306-8357,13
9235-9499-3161-2456,13
2645-2341-0479-2509,2
8135-8295-4225-9656,5
8935-8078-9550-8256,16
7023-3203-7510-0178,14
4158-5744-8637-7801,3
5538-7340-0587-8432,14
6292-7555-8321-9045,19
1175-3344-0840-9088,7
4968-6458-4840-8772,13
2613-9261-7471-1296,10
1298-8293-9005-0302,9
5599-8182-6880-3887,10
3558-1764-8142-2640,14
3744-5083-8162-4449,8
2269-6115-5896-7686,10
9189-5843-4794-2422,15
4200-7143-5319-7026,5
8502-3660-3748-1172,5
1760-4342-3777-0556,6
9808-6748-8270-1339,4
6107-3183-8999-9223,4
1313-3831-3713-1073,18
1012-8002-8706-1345,19
7778-0670-8978-3999,5
7621-0158-6701-3322,18
4435-9278-3014-0355,11
7811-4077-6114-4198,19
3339-0994-9697-2296,5
4557-1204-8428-1487,7
4725-0461-0054-9407,2
1316-2465-5471-2403,18
5652-4049-7224-1164,9
4541-9210-5026-5062,5
7937-7005-5396-7460,8
3635-8158-9358-2947,13
4920-8847-5773-3897,12
7409-2705-6551-3594,17
1508-7962-7146-5673,5
4012-6800-1916-3186,16
6782-7722-9107-0877,15
4657-1080-5590-2242,19
9054-9210-2920-3006,18
2165-0474-8468-1042,4
2834-2910-6399-6662,4
9686-7985-0921-1782,5
8261-8371-5135-2231,12
8897-7911-3758-6018,11
7414-8565-7322-9023,14
2276-4644-2772-9327,4
5378-9655-1683-9877,12
7416-3329-6224-7608,8
